"OePNV","kiezblocks","Fahrrad","fahrenderVerkehr","DRT","Parkraum","CO2","Kosten","traffic","parking","drtTraffic","KostenProKopf","KostenProErwachsener"
"base","base","base","base","base","base",1,0,1,1,0,0,0
"dekarbonisiert","base","base","base","base","base",0.99,-5e+07,1,1,0,-13.1578947368421,-16.3398692810458
"stark","base","base","base","base","base",0.9,-5.5e+08,0.9,0.95,0,-144.736842105263,-179.738562091503
"base","ganze Stadt","base","base","base","base",0.9,-1e+07,0.9,0.95,0,-2.63157894736842,-3.26797385620915
"dekarbonisiert","ganze Stadt","base","base","base","base",0.9,-6e+07,0.9,0.95,0,-15.7894736842105,-19.6078431372549
"stark","ganze Stadt","base","base","base","base",0.8,-5.6e+08,0.8,0.9,0,-147.368421052632,-183.006535947712
"base","base","stark","base","base","base",0.9,-7e+07,0.9,0.95,0,-18.421052631579,-22.8758169934641
"dekarbonisiert","base","stark","base","base","base",0.9,-1.2e+08,0.9,0.95,0,-31.5789473684211,-39.2156862745098
"stark","base","stark","base","base","base",0.8,-6.2e+08,0.8,0.9,0,-163.157894736842,-202.614379084967
"base","ganze Stadt","stark","base","base","base",0.8,-8e+07,0.8,0.9,0,-21.0526315789474,-26.1437908496732
"dekarbonisiert","ganze Stadt","stark","base","base","base",0.8,-1.3e+08,0.8,0.9,0,-34.2105263157895,-42.483660130719
"stark","ganze Stadt","stark","base","base","base",0.75,-6.3e+08,0.75,0.85,0,-165.789473684211,-205.882352941176
"base","base","base","mautFossil","base","base",0.2,4.9e+08,0.8,0.9,0,128.070175438597,159.041394335512
"dekarbonisiert","base","base","mautFossil","base","base",0.2,4.4e+08,0.8,0.9,0,114.912280701754,142.701525054466
"stark","base","base","mautFossil","base","base",0.2,-1.1e+08,0.7,0.85,0,-29.4736842105263,-36.6013071895425
"base","ganze Stadt","base","mautFossil","base","base",0.2,4.3e+08,0.7,0.85,0,112.631578947368,139.869281045752
"dekarbonisiert","ganze Stadt","base","mautFossil","base","base",0.2,3.8e+08,0.7,0.85,0,99.4736842105263,123.529411764706
"stark","ganze Stadt","base","mautFossil","base","base",0.15,-1.7e+08,0.65,0.8,0,-43.6315789473684,-54.1830065359477
"base","base","stark","mautFossil","base","base",0.2,3.7e+08,0.7,0.85,0,96.8421052631579,120.261437908497
"dekarbonisiert","base","stark","mautFossil","base","base",0.2,3.2e+08,0.7,0.85,0,83.6842105263158,103.921568627451
"stark","base","stark","mautFossil","base","base",0.15,-2.3e+08,0.65,0.8,0,-59.4210526315789,-73.7908496732026
"base","ganze Stadt","stark","mautFossil","base","base",0.15,3.1e+08,0.65,0.8,0,82.6842105263158,102.679738562092
"dekarbonisiert","ganze Stadt","stark","mautFossil","base","base",0.15,2.6e+08,0.65,0.8,0,69.5263157894737,86.3398692810458
"stark","ganze Stadt","stark","mautFossil","base","base",0.15,-2.8e+08,0.6,0.75,0,-72.4263157894737,-89.9411764705882
