"OePNV","kiezblocks","Fahrrad","Verbrenner","E_Fahrzeuge","DRT","Anwohnerparken","Besucherparken","CO2","Kosten","traffic","parking","KostenProKopf","KostenProErwachsener"
"base","base","base","base","base","base","10 €/Jahr","0,00 €/h",1,0,1,1,0,0
"dekarbonisiert","base","base","base","base","base","10 €/Jahr","0,00 €/h",0.99,-5e+07,1,1,-13.1578947368421,-16.3398692810458
"stark","base","base","base","base","base","10 €/Jahr","0,00 €/h",0.9,-5.5e+08,0.9,0.95,-144.736842105263,-179.738562091503
"base","Innenstadt","base","base","base","base","10 €/Jahr","0,00 €/h",0.9505,-5e+06,0.95,1,-1.31578947368421,-1.63398692810458
"dekarbonisiert","Innenstadt","base","base","base","base","10 €/Jahr","0,00 €/h",0.95,-5.5e+07,0.95,1,-14.4736842105263,-17.9738562091503
"stark","Innenstadt","base","base","base","base","10 €/Jahr","0,00 €/h",0.85,-5.55e+08,0.85,0.95,-146.052631578947,-181.372549019608
"base","ganze Stadt","base","base","base","base","10 €/Jahr","0,00 €/h",0.9,-1e+07,0.9,0.95,-2.63157894736842,-3.26797385620915
"dekarbonisiert","ganze Stadt","base","base","base","base","10 €/Jahr","0,00 €/h",0.9,-6e+07,0.9,0.95,-15.7894736842105,-19.6078431372549
"stark","ganze Stadt","base","base","base","base","10 €/Jahr","0,00 €/h",0.8,-5.6e+08,0.8,0.9,-147.368421052632,-183.006535947712
"base","base","stark","base","base","base","10 €/Jahr","0,00 €/h",0.9,-7e+07,0.9,0.95,-18.421052631579,-22.8758169934641
"dekarbonisiert","base","stark","base","base","base","10 €/Jahr","0,00 €/h",0.9,-1.2e+08,0.9,0.95,-31.578947368421,-39.2156862745098
"stark","base","stark","base","base","base","10 €/Jahr","0,00 €/h",0.8,-6.2e+08,0.8,0.9,-163.157894736842,-202.614379084967
"base","Innenstadt","stark","base","base","base","10 €/Jahr","0,00 €/h",0.85,-7.5e+07,0.85,0.95,-19.7368421052632,-24.5098039215686
"dekarbonisiert","Innenstadt","stark","base","base","base","10 €/Jahr","0,00 €/h",0.85,-1.25e+08,0.85,0.95,-32.8947368421053,-40.8496732026144
"stark","Innenstadt","stark","base","base","base","10 €/Jahr","0,00 €/h",0.75,-6.25e+08,0.75,0.9,-164.473684210526,-204.248366013072
"base","ganze Stadt","stark","base","base","base","10 €/Jahr","0,00 €/h",0.8,-8e+07,0.8,0.9,-21.0526315789474,-26.1437908496732
"dekarbonisiert","ganze Stadt","stark","base","base","base","10 €/Jahr","0,00 €/h",0.8,-1.3e+08,0.8,0.9,-34.2105263157895,-42.483660130719
"stark","ganze Stadt","stark","base","base","base","10 €/Jahr","0,00 €/h",0.75,-6.3e+08,0.75,0.85,-165.789473684211,-205.882352941176
"base","base","base","Maut","base","base","10 €/Jahr","0,00 €/h",0.6,1.46e+09,0.8,0.9,384.21052631579,477.124183006536
"dekarbonisiert","base","base","Maut","base","base","10 €/Jahr","0,00 €/h",0.6,1.41e+09,0.8,0.9,371.052631578947,460.78431372549
"stark","base","base","Maut","base","base","10 €/Jahr","0,00 €/h",0.55,9.1e+08,0.7,0.85,239.473684210526,297.385620915033
"base","Innenstadt","base","Maut","base","base","10 €/Jahr","0,00 €/h",0.55,1.382e+09,0.75,0.9,363.684210526316,451.633986928105
"dekarbonisiert","Innenstadt","base","Maut","base","base","10 €/Jahr","0,00 €/h",0.55,1.332e+09,0.75,0.9,350.526315789474,435.294117647059
"stark","Innenstadt","base","Maut","base","base","10 €/Jahr","0,00 €/h",0.5,8.32e+08,0.7,0.85,218.947368421053,271.895424836601
"base","ganze Stadt","base","Maut","base","base","10 €/Jahr","0,00 €/h",0.55,1.304e+09,0.7,0.85,343.157894736842,426.143790849673
"dekarbonisiert","ganze Stadt","base","Maut","base","base","10 €/Jahr","0,00 €/h",0.55,1.254e+09,0.7,0.85,330,409.803921568628
"stark","ganze Stadt","base","Maut","base","base","10 €/Jahr","0,00 €/h",0.5,7.54e+08,0.65,0.8,198.421052631579,246.40522875817
"base","base","stark","Maut","base","base","10 €/Jahr","0,00 €/h",0.55,1.244e+09,0.7,0.85,327.368421052632,406.535947712418
"dekarbonisiert","base","stark","Maut","base","base","10 €/Jahr","0,00 €/h",0.55,1.194e+09,0.7,0.85,314.21052631579,390.196078431373
"stark","base","stark","Maut","base","base","10 €/Jahr","0,00 €/h",0.5,6.94e+08,0.65,0.8,182.631578947368,226.797385620915
"base","Innenstadt","stark","Maut","base","base","10 €/Jahr","0,00 €/h",0.5,1173300000,0.7,0.85,308.763157894737,383.43137254902
"dekarbonisiert","Innenstadt","stark","Maut","base","base","10 €/Jahr","0,00 €/h",0.5,1123300000,0.7,0.85,295.605263157895,367.091503267974
